Indirizzo;Ubicazione;Codice;Ambito;Pagamenti;Tariffa;Tipo;Latitude;Longitude
Via Catania;Civico 67;P33;Nomentano;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.90989;12.5198
Via Verbania;Civico 4/e;AG109;Tuscolano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.88047;12.521924
Viale Maresciallo Pilsudski;Civico 122;AB125;Pinciano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.9283;12.479808
Via Lucrino;Civico 8;AC65;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.928535;12.513035
Via di Villa Emiliani;Civico 44;AB61;Parioli;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.929173;12.49031
Via Paolo Frisi;Civico 11;V44;Pinciano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.928284;12.483596
Via Monte Savello; ;E132;Centro Storico;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 08 - 1.20 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.89137;12.479285
Via Osoppo;Angolo Via della Sforzesca;D69;Nomentano;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.904667;12.509423
Via Liguria;Civico 40;F63;Ludovisi - Sallustiano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.906113;12.488362
Via Bissolati;Civico 7;F64;Ludovisi - Sallustiano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.905487;12.492203
Via Toscana;Angolo Via Boncompagni;F67;Ludovisi - Sallustiano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.908115;12.492068
Via Giovanni Lanza;Civico 164;I25;Monti;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.89509;12.495712
Via Propezio;Angolo Via Boezio;G41;Prati;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 04 - 1.00 euro/h - 08:00 20:00 - Lunedi' - Sabato;Pay&Go+;41.90636;12.461314
Via Giovanni Mario Crescimbreni;Civico 2;I84;Monti;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.89024;12.498146
Piazza Adriana;Civico 20;L3;Prati;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 04 - 1.00 euro/h - 08:00 20:00 - Lunedi' - Sabato;Pay&Go+;41.904205;12.464263
Via delle Vaschette;Civico 101;L8;Borgo;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 04 - 1.00 euro/h - 08:00 20:00 - Lunedi' - Sabato;Pay&Go+;41.904205;12.461586
Passeggiata del Gianicolo;Piazzale del Faro;M108;Trastevere;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.894722;12.460519
Passeggiata del Gianicolo;Civico 1;M109;Trastevere;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.893414;12.460514
Via dei Normanni;Civico 5;I48;Monti;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.889645;12.497021
Via SS. Quattro;Civico 57;I58;Celio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.889236;12.49522
Viale Carso;Civico 41;N140;Della Vittoria;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.91946;12.460687
Piazza Giuditta Tavani Arquati;Civico 112;M32;Trastevere;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 06 - 1.00 euro/h - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.889923;12.473105
Via Nicola Zabaglia;Civico 12;H56;Testaccio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 05 - 1.20 euro/h ZTL - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.878242;12.475463
Via Crescenzio;Angolo Via Varrone;G40;Prati;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 04 - 1.00 euro/h - 08:00 20:00 - Lunedi' - Sabato;Pay&Go+;41.905987;12.4603
Via Campania;Civico 47;F30;Ludovisi - Sallustiano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.91009;12.491366
Via Fornovo;Civico 8;G83;Prati;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 04 - 1.00 euro/h - 08:00 20:00 - Lunedi' - Sabato;Pay&Go+;41.912834;12.468439
Viale Giulio Cesare;Angolo Via Ezio;G84;Prati;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 04 - 1.00 euro/h - 08:00 20:00 - Lunedi' - Sabato;Pay&Go+;41.911003;12.465064
Via Orazio;Angolo Via Plinio;G47;Prati;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.90744;12.466118
Via Casini;Civico 7;M60;Trastevere;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.884182;12.466776
Via del Mazzarino; ;A9;Centro Storico;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 09 - 1.20 euro/h ZTL - 18:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.896755;12.488547
Via dei Cerchi;Civico 6;A12;Campitelli Ripa;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.888504;12.48259
Piazza della Cancelleria;Civico 67;A22;Centro Storico;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 09 - 1.20 euro/h ZTL - 18:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.89643;12.472138
Via di San Giovanni Decollato;Civico 9;A49;Campitelli Ripa;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.89053;12.482091
Via Francesco Crispi;Civico 78;A60;Centro Storico;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 09 - 1.20 euro/h ZTL - 18:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.90508;12.485938
Piazza Repubblica;Lato Piazza Repubblica;B1;Castro Pretorio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.903492;12.495783
Viale Castro Pretorio;Civico 63;B37;Castro Pretorio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.9044;12.506433
Via Palestro;Angolo Via Vicenza;B40;Castro Pretorio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.904457;12.50486
Via Milazzo;Angolo Via Varese;B43;Castro Pretorio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.902702;12.505506
Via Castelfidardo;Civico 78;B25;Castro Pretorio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.905247;12.502382
Viale Regina Elena;Civico 299;D62;Tiburtino;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.90435;12.51757
Via Beniamino Franklin;Angolo Via G.Branca;H43;Testaccio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 05 - 1.20 euro/h ZTL - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.878662;12.472411
Lungotevere Testaccio;Civico 9;H25;Testaccio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 06 - 1.00 euro/h - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.88212;12.474638
Via Quintino Sella;Angolo Via Spaventa;F37;Ludovisi - Sallustiano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.90726;12.496189
Via Cola di Rienzo;Civico 52;G37;Prati;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 04 - 1.00 euro/h - 08:00 20:00 - Lunedi' - Sabato;Pay&Go+;41.90708;12.461388
Via Aureliana;Civico 1;F46;Ludovisi - Sallustiano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.90604;12.496491
Via Salandra;Via Flavia;F47;Ludovisi - Sallustiano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.905838;12.495437
Via Tullio;Civico 22;F39;Ludovisi - Sallustiano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.907406;12.497527
Via Belisario;Civico 8;F43;Ludovisi - Sallustiano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.909042;12.497954
Via Labicana;Civico 19;I52;Monti;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.889156;12.501335
Viale Giulio Cesare;Civico 109;G98;Prati;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 04 - 1.00 euro/h - 08:00 20:00 - Lunedi' - Sabato;Pay&Go+;41.90971;12.459707
Via Goffredo Mameli;Civico 12;M22;Trastevere;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 05 - 1.20 euro/h ZTL - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.886555;12.468164
Via Galvani;Civico 4;H60;Testaccio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 06 - 1.00 euro/h - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.876728;12.473804
Via Piemonte;Angolo Via Sardegna;F24;Ludovisi - Sallustiano;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.909943;12.493036
Via degli Annibaldi;Angolo Via Frangipane;I13;Monti;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.893547;12.491275
Via Castro Pretorio;Angolo Via Gaeta;B22;Castro Pretorio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.906776;12.504971
Via Marghera;Angolo Via Marsala;B52;Castro Pretorio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.90202;12.503005
Via Castro Pretorio;Angolo Via Varese;B56;Castro Pretorio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go+;41.90226;12.506289
Piazza Pilotta;Civico 3;A32;Centro Storico;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 09 - 1.20 euro/h ZTL - 18:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.89871;12.484064
Lungotevere della Farnesina;Angolo Via del Buon Pastore;E57;Trastevere;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 06 - 1.00 euro/h - 08:00 03:00 - Lunedi' - Sabato;Pay&Go+;41.894775;12.466587
Lungotevere de Cenci;Civico 11;E83;Centro Storico;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.891895;12.477005
Via Sistina;Civico 77;A37;Centro Storico;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 09 - 1.20 euro/h ZTL - 18:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.905315;12.484823
Via delle Terme di Diocleziano; ;B67;Castro Pretorio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.901688;12.497518
Ponte Mazzini; ;E17;Centro Storico;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.897243;12.465715
Ponte Vittorio Emanuele II;Civico 4;E20;Centro Storico;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.901047;12.465278
Ponte Umberto I;Civico 35;E21;Centro Storico;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.90164;12.470085
Largo dei Falisci; ;D6;Tiburtino;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go;41.897285;12.512498
Via Tiburtina;Piazza del Caduti;D7;Tiburtino;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go;41.897976;12.513407
Via di Porta Tiburtina;Angolo Via dei Pelasgi;D21;Tiburtino;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go;41.899353;12.509302
Lungotevere dei Mellini;Civico 27;E44;Prati;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.90859;12.472325
Lungotevere dei Mellini;Civico 43;E45;Prati;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;ZONA 02 - 1.00 euro/h - 08:00 23:00 - Lunedi' - Sabato;Pay&Go+;41.907974;12.472514
Via Val d'Aosta;Park scambio Nomentana;1020141;Park di Scambio;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;Park di Scambio - euro 1,50 12/h - euro 2,50 16/h;Pay&Go;41.93428;12.52372
Via Tiburtina; ;SMSocc 135;Park di Scambio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;Park di Scambio - euro 1,50 12/h - euro 2,50 16/h;Pay&Go+;41.91435;12.558572
Park La Storta; ;172;Park di Scambio;PAGAMENTO SOSTA - Ricarica: abbonamento annuale e mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe;Park di Scambio - euro 1,50 12/h - euro 2,50 16/h;Pay&Go+;42.002716;12.379282
Via Nomentana;Angolo Via Novara;Z105;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.91373;12.507523
Via Makalle;Civico 2;Z54;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.92758;12.521879
Corso Trieste;Civico 1;Z70;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.91431;12.508325
Via Tripolitania;Angolo Via Dire Daua;Z24;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.9296;12.519005
Via Sirte;Civico 66;Z28;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.92809;12.516769
Via Tripoli;Civico 67;Z29;Trieste;PAGAMENTO SOSTA - Ricarica: abbonamento mensile, BIT, 10BIT, 24-48-72 ore e 7 giorni - Pagamento multe entro 5 giorni;ZONA 01 - 1.00 euro/h - 08:00 19:00 - Lunedi' - Sabato;Pay&Go;41.928146;12.523102
